probe	HUGO.gene.symbol
Contig21398_RC	Contig21398_RC	NA
Contig21400_RC	Contig21400_RC	AFF4
Contig21406_RC	Contig21406_RC	NA
Contig21407_RC	Contig21407_RC	NA
Contig21409_RC	Contig21409_RC	C20orf160
Contig21413_RC	Contig21413_RC	NA
Contig21416_RC	Contig21416_RC	NA
Contig2141_RC	Contig2141_RC	NA
Contig21421_RC	Contig21421_RC	NA
Contig21434_RC	Contig21434_RC	NA
Contig21435_RC	Contig21435_RC	NA
Contig21436_RC	Contig21436_RC	NA
Contig21438	Contig21438	C11orf17
Contig21439_RC	Contig21439_RC	NA
Contig2143_RC	Contig2143_RC	DOCK7
Contig21441_RC	Contig21441_RC	NA
Contig21461_RC	Contig21461_RC	NA
Contig21464_RC	Contig21464_RC	NA
Contig21465_RC	Contig21465_RC	NA
Contig21478_RC	Contig21478_RC	NA
Contig21493_RC	Contig21493_RC	NA
Contig21502_RC	Contig21502_RC	NA
Contig2150_RC	Contig2150_RC	NA
Contig21514_RC	Contig21514_RC	NA
Contig21515_RC	Contig21515_RC	NA
Contig21517_RC	Contig21517_RC	NA
Contig21552_RC	Contig21552_RC	NA
Contig21588_RC	Contig21588_RC	NA
Contig21596_RC	Contig21596_RC	NA
Contig215_RC	Contig215_RC	PRRT2
Contig21604_RC	Contig21604_RC	NA
Contig21607_RC	Contig21607_RC	NA
Contig21619_RC	Contig21619_RC	NA
Contig21627_RC	Contig21627_RC	NA
Contig21629_RC	Contig21629_RC	NA
Contig2162_RC	Contig2162_RC	BLOC1S2
Contig21636	Contig21636	THAP9
Contig21639_RC	Contig21639_RC	NA
Contig21652_RC	Contig21652_RC	NA
Contig21655_RC	Contig21655_RC	NA
Contig21657_RC	Contig21657_RC	NA
Contig21665_RC	Contig21665_RC	NA
Contig21670	Contig21670	NA
Contig21674_RC	Contig21674_RC	NA
Contig21677_RC	Contig21677_RC	NA
Contig21678_RC	Contig21678_RC	NA
Contig21679_RC	Contig21679_RC	NA
Contig21687_RC	Contig21687_RC	NA
Contig21697	Contig21697	NA
Contig21700_RC	Contig21700_RC	CEP152
Contig21710_RC	Contig21710_RC	NA
Contig21726_RC	Contig21726_RC	NA
Contig21742_RC	Contig21742_RC	NA
Contig2174_RC	Contig2174_RC	MCAT
Contig21751_RC	Contig21751_RC	NA
Contig21755_RC	Contig21755_RC	NA
Contig21775_RC	Contig21775_RC	NA
Contig21780_RC	Contig21780_RC	NA
Contig21784_RC	Contig21784_RC	NA
Contig21787_RC	Contig21787_RC	NA
Contig21797_RC	Contig21797_RC	NA
Contig2179_RC	Contig2179_RC	COQ10A
Contig21800_RC	Contig21800_RC	NA
Contig21801_RC	Contig21801_RC	NA
Contig21803_RC	Contig21803_RC	NA
Contig21812_RC	Contig21812_RC	NA
Contig21813_RC	Contig21813_RC	NA
Contig21816_RC	Contig21816_RC	NA
Contig21829_RC	Contig21829_RC	NA
Contig21831_RC	Contig21831_RC	NA
Contig21835_RC	Contig21835_RC	NA
Contig21839_RC	Contig21839_RC	NA
Contig21840_RC	Contig21840_RC	SPATS1
Contig21843_RC	Contig21843_RC	NA
Contig21847_RC	Contig21847_RC	FGFBP2
Contig21849_RC	Contig21849_RC	NA
Contig21852_RC	Contig21852_RC	ZC3H6
Contig21855_RC	Contig21855_RC	NA
Contig21865_RC	Contig21865_RC	NA
Contig21869_RC	Contig21869_RC	C9orf4
Contig21876_RC	Contig21876_RC	NA
Contig21882_RC	Contig21882_RC	NA
Contig21886_RC	Contig21886_RC	NA
Contig21891_RC	Contig21891_RC	NA
Contig21901_RC	Contig21901_RC	PCDHB6
Contig21904	Contig21904	NA
Contig21905_RC	Contig21905_RC	NA
Contig21914_RC	Contig21914_RC	NA
Contig21929_RC	Contig21929_RC	NA
Contig21930_RC	Contig21930_RC	NA
Contig21932_RC	Contig21932_RC	NA
Contig21936_RC	Contig21936_RC	NA
Contig21947_RC	Contig21947_RC	NA
Contig21963_RC	Contig21963_RC	UGT3A1
Contig21964_RC	Contig21964_RC	NA
Contig21979_RC	Contig21979_RC	NA
Contig21986_RC	Contig21986_RC	NA
Contig21988_RC	Contig21988_RC	NA
Contig21997_RC	Contig21997_RC	NA
Contig22003_RC	Contig22003_RC	NA
Contig22010_RC	Contig22010_RC	NA
Contig22022_RC	Contig22022_RC	NA
Contig22024_RC	Contig22024_RC	NA
Contig22025_RC	Contig22025_RC	NA
Contig2204	Contig2204	MTIF3
Contig22042_RC	Contig22042_RC	NA
Contig22064_RC	Contig22064_RC	NA
Contig22066_RC	Contig22066_RC	NA
Contig2206_RC	Contig2206_RC	NA
Contig22071_RC	Contig22071_RC	NA
Contig22074_RC	Contig22074_RC	NA
Contig22091_RC	Contig22091_RC	NA
Contig22095_RC	Contig22095_RC	NA
Contig22102_RC	Contig22102_RC	NA
Contig22130_RC	Contig22130_RC	NA
Contig22135_RC	Contig22135_RC	NA
Contig22156_RC	Contig22156_RC	NA
Contig22175_RC	Contig22175_RC	NA
Contig22178_RC	Contig22178_RC	NA
Contig22179_RC	Contig22179_RC	NA
Contig22183_RC	Contig22183_RC	NA
Contig22184_RC	Contig22184_RC	NA
Contig22194_RC	Contig22194_RC	NA
Contig22204_RC	Contig22204_RC	NA
Contig2220_RC	Contig2220_RC	NA
Contig22235_RC	Contig22235_RC	KLRG1
Contig2224	Contig2224	MYOZ1
Contig22251_RC	Contig22251_RC	MYBPHL
Contig22253_RC	Contig22253_RC	NA
Contig22254_RC	Contig22254_RC	NA
Contig22255_RC	Contig22255_RC	NA
Contig22262_RC	Contig22262_RC	NA
Contig22267_RC	Contig22267_RC	ARMC5
Contig2226_RC	Contig2226_RC	UTRN
Contig22274_RC	Contig22274_RC	NA
Contig2227_RC	Contig2227_RC	CABLES1
Contig22283_RC	Contig22283_RC	ZNF452
Contig22288_RC	Contig22288_RC	NA
Contig22290_RC	Contig22290_RC	NA
Contig22307_RC	Contig22307_RC	NA
Contig22314_RC	Contig22314_RC	NA
Contig22329_RC	Contig22329_RC	NA
Contig22337_RC	Contig22337_RC	NA
Contig22343_RC	Contig22343_RC	NA
Contig22346_RC	Contig22346_RC	C6orf60
Contig22356_RC	Contig22356_RC	NA
Contig22362_RC	Contig22362_RC	NA
Contig22363_RC	Contig22363_RC	TRIM42
Contig2236_RC	Contig2236_RC	NA
Contig22378_RC	Contig22378_RC	NA
Contig22379_RC	Contig22379_RC	NA
Contig2237_RC	Contig2237_RC	SMOC2
Contig22386_RC	Contig22386_RC	NA
Contig22391_RC	Contig22391_RC	NA
Contig22394_RC	Contig22394_RC	NA
Contig22397_RC	Contig22397_RC	NA
Contig22408_RC	Contig22408_RC	C20orf179
Contig22418_RC	Contig22418_RC	NA
Contig22423_RC	Contig22423_RC	NA
Contig22427_RC	Contig22427_RC	C18orf37
Contig22444_RC	Contig22444_RC	NA
Contig22451_RC	Contig22451_RC	NA
Contig22454_RC	Contig22454_RC	NA
Contig22455_RC	Contig22455_RC	NA
Contig22458_RC	Contig22458_RC	NA
Contig22469_RC	Contig22469_RC	NA
Contig22485_RC	Contig22485_RC	CNTNAP3
Contig22487_RC	Contig22487_RC	NA
Contig22491_RC	Contig22491_RC	NA
Contig22493_RC	Contig22493_RC	NA
Contig22505_RC	Contig22505_RC	NA
Contig22507_RC	Contig22507_RC	NA
Contig22508_RC	Contig22508_RC	NA
Contig22510_RC	Contig22510_RC	NA
Contig22517_RC	Contig22517_RC	C9orf128
Contig22525_RC	Contig22525_RC	NA
Contig22526_RC	Contig22526_RC	NA
Contig22534_RC	Contig22534_RC	NA
Contig22546_RC	Contig22546_RC	CATSPER3
Contig22550_RC	Contig22550_RC	NA
Contig22551_RC	Contig22551_RC	NA
Contig22552_RC	Contig22552_RC	NA
Contig22593_RC	Contig22593_RC	NA
Contig22596_RC	Contig22596_RC	NA
Contig22598_RC	Contig22598_RC	PPP3R2
Contig22599_RC	Contig22599_RC	NA
Contig22601_RC	Contig22601_RC	ABHD1
Contig22603_RC	Contig22603_RC	NA
Contig22608_RC	Contig22608_RC	NA
Contig2261	Contig2261	ZNF775
Contig22615_RC	Contig22615_RC	C6orf128
Contig22622_RC	Contig22622_RC	NA
Contig2262_RC	Contig2262_RC	CCDC23
Contig2263_RC	Contig2263_RC	NA
Contig22645_RC	Contig22645_RC	NA
Contig22675_RC	Contig22675_RC	NA
Contig22681_RC	Contig22681_RC	NA
Contig22685_RC	Contig22685_RC	NA
Contig22705_RC	Contig22705_RC	NA
Contig22711_RC	Contig22711_RC	NA
Contig22714_RC	Contig22714_RC	NA
Contig22716_RC	Contig22716_RC	NA
Contig22720_RC	Contig22720_RC	NA
Contig22745_RC	Contig22745_RC	NA
Contig22749	Contig22749	NA
Contig22758_RC	Contig22758_RC	NA
Contig22759_RC	Contig22759_RC	NA
Contig22775_RC	Contig22775_RC	MOBKL2B
Contig22779_RC	Contig22779_RC	C20orf132
Contig22780_RC	Contig22780_RC	NA
Contig22786_RC	Contig22786_RC	NA
Contig22809_RC	Contig22809_RC	NA
Contig2280_RC	Contig2280_RC	CCDC115
Contig22818_RC	Contig22818_RC	NA
Contig22822_RC	Contig22822_RC	NA
Contig22831_RC	Contig22831_RC	NA
Contig22834_RC	Contig22834_RC	NA
Contig22842_RC	Contig22842_RC	NA
Contig22844_RC	Contig22844_RC	LRRK2
Contig22845_RC	Contig22845_RC	NA
Contig22847_RC	Contig22847_RC	NA
Contig22901_RC	Contig22901_RC	NA
Contig22903	Contig22903	NA
Contig22907_RC	Contig22907_RC	NA
Contig22927_RC	Contig22927_RC	NA
Contig22955_RC	Contig22955_RC	NA
Contig22973_RC	Contig22973_RC	NA
Contig22985_RC	Contig22985_RC	NA
Contig22995_RC	Contig22995_RC	NA
Contig23014_RC	Contig23014_RC	C6orf162
Contig23027_RC	Contig23027_RC	LSM11
Contig23039_RC	Contig23039_RC	NA
Contig23042_RC	Contig23042_RC	NA
Contig23046_RC	Contig23046_RC	NA
Contig23055_RC	Contig23055_RC	NA
Contig23074_RC	Contig23074_RC	NA
Contig2307_RC	Contig2307_RC	SLC25A28
Contig23080_RC	Contig23080_RC	KATNAL2
Contig23085_RC	Contig23085_RC	NA
Contig23092	Contig23092	NA
Contig23108_RC	Contig23108_RC	C18orf34
Contig23116_RC	Contig23116_RC	NA
Contig23118_RC	Contig23118_RC	NA
Contig23127_RC	Contig23127_RC	NA
Contig23128_RC	Contig23128_RC	NA
Contig2313_RC	Contig2313_RC	EBF3
Contig23145_RC	Contig23145_RC	NA
Contig23158_RC	Contig23158_RC	NA
Contig23162_RC	Contig23162_RC	NA
Contig23165_RC	Contig23165_RC	NA
Contig23169_RC	Contig23169_RC	CXorf41
Contig23182_RC	Contig23182_RC	NA
Contig23187_RC	Contig23187_RC	NA
Contig23188_RC	Contig23188_RC	NA
Contig23198_RC	Contig23198_RC	NA
Contig23202_RC	Contig23202_RC	NA
Contig23211_RC	Contig23211_RC	NA
Contig23226_RC	Contig23226_RC	NA
Contig2323_RC	Contig2323_RC	NA
Contig23240_RC	Contig23240_RC	NA
Contig23254_RC	Contig23254_RC	NA
Contig23263_RC	Contig23263_RC	NR5A1
Contig23279_RC	Contig23279_RC	NA
Contig23280	Contig23280	NA
Contig23299_RC	Contig23299_RC	NA
Contig23305	Contig23305	NA
Contig23307_RC	Contig23307_RC	DPF3
Contig23317_RC	Contig23317_RC	NA
Contig23338_RC	Contig23338_RC	NA
Contig23341_RC	Contig23341_RC	NA
Contig23343_RC	Contig23343_RC	NA
Contig23352_RC	Contig23352_RC	NA
Contig23356_RC	Contig23356_RC	NA
Contig23362_RC	Contig23362_RC	NA
Contig23368	Contig23368	NA
Contig23371_RC	Contig23371_RC	KIF3A
Contig23381_RC	Contig23381_RC	NA
Contig23386_RC	Contig23386_RC	NA
Contig23391_RC	Contig23391_RC	NA
Contig23399_RC	Contig23399_RC	NA
Contig2339_RC	Contig2339_RC	SCD5
Contig23404_RC	Contig23404_RC	NA
Contig23406_RC	Contig23406_RC	NA
Contig23408_RC	Contig23408_RC	NA
Contig23417_RC	Contig23417_RC	NA
Contig23420_RC	Contig23420_RC	NA
Contig23421_RC	Contig23421_RC	NA
Contig23423_RC	Contig23423_RC	NA
Contig23428_RC	Contig23428_RC	NA
Contig23431_RC	Contig23431_RC	NA
Contig23436_RC	Contig23436_RC	NA
Contig23447_RC	Contig23447_RC	NA
Contig23451_RC	Contig23451_RC	NA
Contig23454_RC	Contig23454_RC	NA
Contig23455_RC	Contig23455_RC	NA
Contig23462_RC	Contig23462_RC	NA
Contig23465_RC	Contig23465_RC	NA
Contig23466_RC	Contig23466_RC	NA
Contig23474_RC	Contig23474_RC	NA
Contig23475_RC	Contig23475_RC	NA
Contig23477_RC	Contig23477_RC	NA
Contig23481_RC	Contig23481_RC	TTN
Contig23484_RC	Contig23484_RC	NA
Contig23491_RC	Contig23491_RC	GUCA1B
Contig23502_RC	Contig23502_RC	NA
Contig23510_RC	Contig23510_RC	NA
Contig23513_RC	Contig23513_RC	NA
Contig23523_RC	Contig23523_RC	NA
Contig23525_RC	Contig23525_RC	NA
Contig23526_RC	Contig23526_RC	NA
Contig23534_RC	Contig23534_RC	NA
Contig23535_RC	Contig23535_RC	NA
Contig23536_RC	Contig23536_RC	NA
Contig23537_RC	Contig23537_RC	NA
Contig23547_RC	Contig23547_RC	NA
Contig23552_RC	Contig23552_RC	NA
Contig23554_RC	Contig23554_RC	NA
Contig23571_RC	Contig23571_RC	NA
Contig23581_RC	Contig23581_RC	NA
Contig23588_RC	Contig23588_RC	NA
Contig23591_RC	Contig23591_RC	NA
Contig23593_RC	Contig23593_RC	PHF20L1
Contig23602_RC	Contig23602_RC	NA
Contig23604_RC	Contig23604_RC	NA
Contig23611_RC	Contig23611_RC	NA
Contig23620_RC	Contig23620_RC	NA
Contig23627_RC	Contig23627_RC	NA
Contig23632_RC	Contig23632_RC	EDG3
Contig23639_RC	Contig23639_RC	PRMT8
Contig23640_RC	Contig23640_RC	NA
Contig23642_RC	Contig23642_RC	PASD1
Contig23646_RC	Contig23646_RC	TRAM1L1
Contig23650_RC	Contig23650_RC	C6orf182
Contig23651_RC	Contig23651_RC	C14orf152
Contig23655_RC	Contig23655_RC	NA
Contig23660_RC	Contig23660_RC	NA
Contig23667_RC	Contig23667_RC	NA
Contig23686_RC	Contig23686_RC	NA
Contig23701_RC	Contig23701_RC	NA
Contig23703_RC	Contig23703_RC	NA
Contig23706_RC	Contig23706_RC	NA
Contig23707_RC	Contig23707_RC	NA
Contig23709_RC	Contig23709_RC	NA
Contig23711_RC	Contig23711_RC	NA
Contig23712_RC	Contig23712_RC	NA
Contig23716_RC	Contig23716_RC	NA
Contig23717_RC	Contig23717_RC	NA
Contig23740_RC	Contig23740_RC	NA
Contig23742_RC	Contig23742_RC	NA
Contig23750_RC	Contig23750_RC	NA
Contig23751_RC	Contig23751_RC	NA
Contig23761_RC	Contig23761_RC	SLC25A27
Contig23765_RC	Contig23765_RC	NA
Contig23770_RC	Contig23770_RC	NA
Contig23779_RC	Contig23779_RC	NA
Contig23789_RC	Contig23789_RC	GRM7
Contig23793_RC	Contig23793_RC	NA
Contig23795_RC	Contig23795_RC	NA
Contig23796_RC	Contig23796_RC	NA
Contig237_RC	Contig237_RC	NA
Contig23803_RC	Contig23803_RC	MLLT4
Contig23804_RC	Contig23804_RC	NA
Contig23806_RC	Contig23806_RC	NA
Contig23809_RC	Contig23809_RC	NA
Contig23813_RC	Contig23813_RC	SPFH2
Contig23822_RC	Contig23822_RC	NA
Contig23834_RC	Contig23834_RC	NA
Contig23837_RC	Contig23837_RC	NA
Contig23842_RC	Contig23842_RC	NA
Contig2384_RC	Contig2384_RC	TMEM60
Contig23853_RC	Contig23853_RC	NA
Contig23855_RC	Contig23855_RC	TBX5
Contig23859_RC	Contig23859_RC	NA
Contig23868_RC	Contig23868_RC	NA
Contig23871_RC	Contig23871_RC	NA
Contig23881_RC	Contig23881_RC	NA
Contig23887_RC	Contig23887_RC	NA
Contig23896_RC	Contig23896_RC	NA
Contig23897_RC	Contig23897_RC	NA
Contig23912_RC	Contig23912_RC	NA
Contig23913_RC	Contig23913_RC	NA
Contig23916_RC	Contig23916_RC	NA
Contig23920_RC	Contig23920_RC	NA
Contig23931_RC	Contig23931_RC	NA
Contig23936_RC	Contig23936_RC	NA
Contig23951_RC	Contig23951_RC	NA
Contig23952_RC	Contig23952_RC	NA
Contig23964_RC	Contig23964_RC	NA
Contig23968_RC	Contig23968_RC	NA
Contig23975_RC	Contig23975_RC	FSD1L
Contig23977_RC	Contig23977_RC	NA
Contig23978_RC	Contig23978_RC	NA
Contig23990_RC	Contig23990_RC	NA
Contig23991_RC	Contig23991_RC	NA
Contig23992	Contig23992	NA
Contig23993_RC	Contig23993_RC	NA
Contig2399_RC	Contig2399_RC	NA
Contig24002_RC	Contig24002_RC	NA
Contig24005_RC	Contig24005_RC	NA
Contig24017_RC	Contig24017_RC	NA
Contig24018_RC	Contig24018_RC	NA
Contig24020_RC	Contig24020_RC	NA
Contig24024_RC	Contig24024_RC	NA
Contig24026_RC	Contig24026_RC	NA
Contig24039_RC	Contig24039_RC	NA
Contig24049_RC	Contig24049_RC	NA
Contig24061_RC	Contig24061_RC	NA
Contig24066_RC	Contig24066_RC	NA
Contig24079_RC	Contig24079_RC	NA
Contig24081_RC	Contig24081_RC	NA
Contig24088_RC	Contig24088_RC	NA
Contig24089_RC	Contig24089_RC	NA
Contig24090	Contig24090	NA
Contig24094_RC	Contig24094_RC	NA
Contig24098_RC	Contig24098_RC	NA
Contig24102_RC	Contig24102_RC	NA
Contig24126_RC	Contig24126_RC	NA
Contig24138_RC	Contig24138_RC	NA
Contig24142_RC	Contig24142_RC	NA
Contig24146_RC	Contig24146_RC	NA
Contig24152_RC	Contig24152_RC	NA
Contig24155_RC	Contig24155_RC	NA
Contig24157_RC	Contig24157_RC	NA
Contig24161_RC	Contig24161_RC	ZDHHC24
Contig24163_RC	Contig24163_RC	NA
Contig24185_RC	Contig24185_RC	NA
Contig24196_RC	Contig24196_RC	NA
Contig24204_RC	Contig24204_RC	NA
Contig24208_RC	Contig24208_RC	NA
Contig24218_RC	Contig24218_RC	NA
Contig24234_RC	Contig24234_RC	NA
Contig24240_RC	Contig24240_RC	NA
Contig24249_RC	Contig24249_RC	NA
Contig2424_RC	Contig2424_RC	NA
Contig24252_RC	Contig24252_RC	NA
Contig24259_RC	Contig24259_RC	SOLH
Contig24264_RC	Contig24264_RC	NA
Contig24272_RC	Contig24272_RC	C1orf124
Contig24278_RC	Contig24278_RC	NA
Contig24282_RC	Contig24282_RC	NA
Contig24289_RC	Contig24289_RC	ABAT
Contig2429_RC	Contig2429_RC	NA
Contig24300	Contig24300	NA
Contig24308_RC	Contig24308_RC	NA
Contig24311_RC	Contig24311_RC	NA
Contig24326_RC	Contig24326_RC	OSM
Contig24344_RC	Contig24344_RC	NA
Contig24351_RC	Contig24351_RC	NA
Contig24363_RC	Contig24363_RC	NA
Contig24365_RC	Contig24365_RC	NA
Contig24367_RC	Contig24367_RC	NA
Contig24376_RC	Contig24376_RC	NA
Contig24381_RC	Contig24381_RC	NA
Contig24382_RC	Contig24382_RC	NA
Contig24390_RC	Contig24390_RC	NA
Contig24394_RC	Contig24394_RC	NA
Contig2439_RC	Contig2439_RC	NA
Contig24417_RC	Contig24417_RC	NA
Contig24432_RC	Contig24432_RC	NA
Contig24436_RC	Contig24436_RC	NA
Contig24444_RC	Contig24444_RC	NA
Contig24450_RC	Contig24450_RC	NA
Contig24453_RC	Contig24453_RC	NA
Contig24468_RC	Contig24468_RC	NA
Contig2446_RC	Contig2446_RC	COL12A1
Contig24488_RC	Contig24488_RC	NA
Contig24493_RC	Contig24493_RC	NA
Contig24501_RC	Contig24501_RC	NA
Contig2450_RC	Contig2450_RC	NA
Contig24541_RC	Contig24541_RC	NA
Contig2454_RC	Contig2454_RC	PRKAR1B
Contig24552_RC	Contig24552_RC	NA
Contig24553_RC	Contig24553_RC	NA
Contig24565_RC	Contig24565_RC	NA
Contig24570_RC	Contig24570_RC	NA
Contig24571_RC	Contig24571_RC	NA
Contig24575_RC	Contig24575_RC	ERG
Contig24576_RC	Contig24576_RC	JPH2
Contig24581_RC	Contig24581_RC	SFMBT2
Contig24585_RC	Contig24585_RC	NA
Contig24586_RC	Contig24586_RC	NOD2
Contig24591_RC	Contig24591_RC	ZNF688
Contig24594_RC	Contig24594_RC	NA
Contig24597_RC	Contig24597_RC	NA
Contig24599_RC	Contig24599_RC	KLHDC6
Contig24600_RC	Contig24600_RC	NA
Contig24601_RC	Contig24601_RC	NA
Contig24602_RC	Contig24602_RC	NA
Contig24603	Contig24603	B3GNT4
Contig24609_RC	Contig24609_RC	NA
Contig24620_RC	Contig24620_RC	NA
Contig24623_RC	Contig24623_RC	NA
Contig24629_RC	Contig24629_RC	NA
Contig24644_RC	Contig24644_RC	NA
Contig24646_RC	Contig24646_RC	NA
Contig24650_RC	Contig24650_RC	NA
Contig24652_RC	Contig24652_RC	NA
Contig24655_RC	Contig24655_RC	FRMD3
Contig24665_RC	Contig24665_RC	SLC2A13
Contig24671_RC	Contig24671_RC	NA
Contig24681_RC	Contig24681_RC	NA
Contig24682_RC	Contig24682_RC	NA
Contig24710	Contig24710	NA
Contig24717_RC	Contig24717_RC	TUB
Contig24738_RC	Contig24738_RC	NA
Contig24742_RC	Contig24742_RC	NA
Contig24780_RC	Contig24780_RC	NA
Contig24782_RC	Contig24782_RC	NA
Contig24787_RC	Contig24787_RC	ZFYVE20
Contig24789_RC	Contig24789_RC	NA
Contig24791_RC	Contig24791_RC	NA
Contig24798_RC	Contig24798_RC	NA
Contig24811_RC	Contig24811_RC	NA
Contig24815_RC	Contig24815_RC	NA
Contig24818_RC	Contig24818_RC	NA
Contig24824_RC	Contig24824_RC	NA
Contig24843_RC	Contig24843_RC	NA
Contig24851_RC	Contig24851_RC	NA
Contig24854_RC	Contig24854_RC	NA
Contig24856_RC	Contig24856_RC	HDAC5
Contig2486_RC	Contig2486_RC	GOLGA2
Contig24875_RC	Contig24875_RC	NA
Contig24880_RC	Contig24880_RC	NA
Contig24903_RC	Contig24903_RC	NA
Contig24907_RC	Contig24907_RC	NA
Contig24930_RC	Contig24930_RC	NA
Contig24931	Contig24931	TUSC5
Contig2493_RC	Contig2493_RC	C19orf48
Contig24954_RC	Contig24954_RC	KLHL10
Contig24968_RC	Contig24968_RC	NA
Contig24982_RC	Contig24982_RC	NA
Contig24986	Contig24986	NA
Contig24987_RC	Contig24987_RC	NA
Contig25009_RC	Contig25009_RC	NA
Contig25013_RC	Contig25013_RC	NA
Contig25017_RC	Contig25017_RC	NA
Contig25031_RC	Contig25031_RC	NA
Contig25033_RC	Contig25033_RC	NA
Contig25034_RC	Contig25034_RC	NA
Contig25041_RC	Contig25041_RC	NA
Contig25044_RC	Contig25044_RC	NA
Contig25046_RC	Contig25046_RC	NA
Contig2504_RC	Contig2504_RC	NA
Contig25055_RC	Contig25055_RC	SDSL
Contig25057	Contig25057	NA
Contig25058_RC	Contig25058_RC	NA
Contig2505_RC	Contig2505_RC	GLTP
Contig25060_RC	Contig25060_RC	NA
Contig25062_RC	Contig25062_RC	NA
Contig25072_RC	Contig25072_RC	NA
Contig25075_RC	Contig25075_RC	NA
Contig25076_RC	Contig25076_RC	NA
Contig25080_RC	Contig25080_RC	RTF1
Contig25087_RC	Contig25087_RC	NA
Contig25088_RC	Contig25088_RC	NA
Contig25090_RC	Contig25090_RC	NA
Contig25092_RC	Contig25092_RC	NA
Contig25095_RC	Contig25095_RC	NA
Contig25104_RC	Contig25104_RC	NA
Contig25107_RC	Contig25107_RC	FDX1
Contig25108_RC	Contig25108_RC	NA
Contig25110_RC	Contig25110_RC	NA
Contig25113_RC	Contig25113_RC	ALS2
Contig25115_RC	Contig25115_RC	NA
Contig25119	Contig25119	NA
Contig25124_RC	Contig25124_RC	C1orf135
Contig25126_RC	Contig25126_RC	NA
Contig2512_RC	Contig2512_RC	NA
Contig25131_RC	Contig25131_RC	NA
Contig25138_RC	Contig25138_RC	NA
Contig25142_RC	Contig25142_RC	NA
Contig25144_RC	Contig25144_RC	NA
Contig25148_RC	Contig25148_RC	NA
Contig25153_RC	Contig25153_RC	NA
Contig25158_RC	Contig25158_RC	NA
Contig25160_RC	Contig25160_RC	NA
Contig25179_RC	Contig25179_RC	NA
Contig25180_RC	Contig25180_RC	NA
Contig25190_RC	Contig25190_RC	NA
Contig25194_RC	Contig25194_RC	SLC6A15
Contig25195_RC	Contig25195_RC	NA
Contig25198_RC	Contig25198_RC	NA
Contig251_RC	Contig251_RC	ZNF655
Contig25206_RC	Contig25206_RC	NA
Contig25226_RC	Contig25226_RC	NA
Contig25228_RC	Contig25228_RC	NA
Contig25234_RC	Contig25234_RC	NA
Contig25245_RC	Contig25245_RC	NA
Contig2524_RC	Contig2524_RC	C12orf4
Contig25256_RC	Contig25256_RC	NA
Contig25265_RC	Contig25265_RC	NA
Contig25271_RC	Contig25271_RC	PAPOLG
Contig25285_RC	Contig25285_RC	NA
Contig25290_RC	Contig25290_RC	NA
Contig25296_RC	Contig25296_RC	NA
Contig252_RC	Contig252_RC	ZC3HAV1
Contig25301	Contig25301	NA
Contig25316_RC	Contig25316_RC	NA
Contig25319_RC	Contig25319_RC	NA
Contig2531_RC	Contig2531_RC	ISG20L1
Contig25323_RC	Contig25323_RC	NA
Contig25327_RC	Contig25327_RC	USP9X
Contig25328_RC	Contig25328_RC	NA
Contig25332_RC	Contig25332_RC	NA
Contig25338_RC	Contig25338_RC	NA
Contig25343_RC	Contig25343_RC	B3GALNT2
Contig25349_RC	Contig25349_RC	C4orf21
Contig25356_RC	Contig25356_RC	NA
Contig25362_RC	Contig25362_RC	NA
Contig25379_RC	Contig25379_RC	BCLAF1
Contig25386	Contig25386	NUAK2
Contig25390_RC	Contig25390_RC	ARID5B
Contig25395_RC	Contig25395_RC	NA
Contig2539_RC	Contig2539_RC	C14orf133
Contig25409_RC	Contig25409_RC	NA
Contig25410_RC	Contig25410_RC	ABHD13
Contig25411_RC	Contig25411_RC	NA
Contig25429_RC	Contig25429_RC	NA
Contig25432_RC	Contig25432_RC	NA
Contig25434_RC	Contig25434_RC	NA
Contig25435_RC	Contig25435_RC	NA
Contig25436_RC	Contig25436_RC	NA
Contig25437_RC	Contig25437_RC	NA
Contig2544	Contig2544	SAP30L
Contig25440_RC	Contig25440_RC	NA
Contig25477_RC	Contig25477_RC	NA
Contig25492_RC	Contig25492_RC	NA
Contig25502_RC	Contig25502_RC	NA
Contig25503_RC	Contig25503_RC	NA
Contig25510_RC	Contig25510_RC	NA
Contig25515_RC	Contig25515_RC	NA
Contig25517_RC	Contig25517_RC	NA
Contig25518_RC	Contig25518_RC	TMEM164
Contig25524_RC	Contig25524_RC	PLCXD3
Contig25526_RC	Contig25526_RC	NA
Contig25529_RC	Contig25529_RC	NA
Contig25533_RC	Contig25533_RC	SLC5A11
Contig25534_RC	Contig25534_RC	NA
Contig25541_RC	Contig25541_RC	NA
Contig25546_RC	Contig25546_RC	ITCH
Contig2554_RC	Contig2554_RC	C8orf40
Contig25562_RC	Contig25562_RC	NA
Contig25564_RC	Contig25564_RC	NA
Contig25577_RC	Contig25577_RC	SLC10A7
Contig25583_RC	Contig25583_RC	NA
Contig25589_RC	Contig25589_RC	NA
Contig25593_RC	Contig25593_RC	NA
Contig25595_RC	Contig25595_RC	NA
Contig25597_RC	Contig25597_RC	NA
Contig256	Contig256	NA
Contig25604_RC	Contig25604_RC	NA
Contig25606_RC	Contig25606_RC	NA
Contig25610_RC	Contig25610_RC	NA
Contig25617_RC	Contig25617_RC	NA
Contig25619_RC	Contig25619_RC	NA
Contig25622_RC	Contig25622_RC	EIF4H
